Zone,NM,Expected Local File,BG-Wiki Page
Konschtat,Depths Digester,assets/nms/konschtat/depths_digester.png,https://www.bg-wiki.com/ffxi/Depths_Digester
Konschtat,Hadal Satiator,assets/nms/konschtat/hadal_satiator.png,https://www.bg-wiki.com/ffxi/Hadal_Satiator
Konschtat,Hexenpilz,assets/nms/konschtat/hexenpilz.png,https://www.bg-wiki.com/ffxi/Hexenpilz
Konschtat,Khalamari,assets/nms/konschtat/khalamari.png,https://www.bg-wiki.com/ffxi/Khalamari
Konschtat,Lentor,assets/nms/konschtat/lentor.png,https://www.bg-wiki.com/ffxi/Lentor
Konschtat,Meanderer,assets/nms/konschtat/meanderer.png,https://www.bg-wiki.com/ffxi/Meanderer
Konschtat,Pavan,assets/nms/konschtat/pavan.png,https://www.bg-wiki.com/ffxi/Pavan
Konschtat,Sarcophilus,assets/nms/konschtat/sarcophilus.png,https://www.bg-wiki.com/ffxi/Sarcophilus
Konschtat,Siranpa-Kamuy,assets/nms/konschtat/siranpa_kamuy.png,https://www.bg-wiki.com/ffxi/Siranpa-Kamuy
Konschtat,Turul,assets/nms/konschtat/turul.png,https://www.bg-wiki.com/ffxi/Turul
Tahrongi,Abas,assets/nms/tahrongi/abas.png,https://www.bg-wiki.com/ffxi/Abas
Tahrongi,Adze,assets/nms/tahrongi/adze.png,https://www.bg-wiki.com/ffxi/Adze
Tahrongi,Alectryon,assets/nms/tahrongi/alectryon.png,https://www.bg-wiki.com/ffxi/Alectryon
Tahrongi,Bhumi,assets/nms/tahrongi/bhumi.png,https://www.bg-wiki.com/ffxi/Bhumi
Tahrongi,Cannered Noz,assets/nms/tahrongi/cannered_noz.png,https://www.bg-wiki.com/ffxi/Cannered_Noz
Tahrongi,Chloris,assets/nms/tahrongi/chloris.png,https://www.bg-wiki.com/ffxi/Chloris
Tahrongi,Chukwa,assets/nms/tahrongi/chukwa.png,https://www.bg-wiki.com/ffxi/Chukwa
Tahrongi,Cuelebre,assets/nms/tahrongi/cuelebre.png,https://www.bg-wiki.com/ffxi/Cuelebre
Tahrongi,Glavoid,assets/nms/tahrongi/glavoid.png,https://www.bg-wiki.com/ffxi/Glavoid
Tahrongi,Halimede,assets/nms/tahrongi/halimede.png,https://www.bg-wiki.com/ffxi/Halimede
Tahrongi,Hedetet,assets/nms/tahrongi/hedetet.png,https://www.bg-wiki.com/ffxi/Hedetet
Tahrongi,Hungerer,assets/nms/tahrongi/hungerer.png,https://www.bg-wiki.com/ffxi/Hungerer
Tahrongi,Iratham,assets/nms/tahrongi/iratham.png,https://www.bg-wiki.com/ffxi/Iratham
Tahrongi,Lachrymater,assets/nms/tahrongi/lachrymater.png,https://www.bg-wiki.com/ffxi/Lachrymater
Tahrongi,Lacovie,assets/nms/tahrongi/lacovie.png,https://www.bg-wiki.com/ffxi/Lacovie
Tahrongi,Manananggal,assets/nms/tahrongi/manananggal.png,https://www.bg-wiki.com/ffxi/Manananggal
Tahrongi,Mictlantecuhtli,assets/nms/tahrongi/mictlantecuhtli.png,https://www.bg-wiki.com/ffxi/Mictlantecuhtli
Tahrongi,Minhocao,assets/nms/tahrongi/minhocao.png,https://www.bg-wiki.com/ffxi/Minhocao
Tahrongi,Muscaliet,assets/nms/tahrongi/muscaliet.png,https://www.bg-wiki.com/ffxi/Muscaliet
Tahrongi,Myrmecoleon,assets/nms/tahrongi/myrmecoleon.png,https://www.bg-wiki.com/ffxi/Myrmecoleon
Tahrongi,Ophanim,assets/nms/tahrongi/ophanim.png,https://www.bg-wiki.com/ffxi/Ophanim
Tahrongi,Quetzalli,assets/nms/tahrongi/quetzalli.png,https://www.bg-wiki.com/ffxi/Quetzalli
Tahrongi,Rubicund Adenium,assets/nms/tahrongi/rubicund_adenium.png,https://www.bg-wiki.com/ffxi/Rubicund_Adenium
Tahrongi,Tefenet,assets/nms/tahrongi/tefenet.png,https://www.bg-wiki.com/ffxi/Tefenet
Tahrongi,Treble Noctules,assets/nms/tahrongi/treble_noctules.png,https://www.bg-wiki.com/ffxi/Treble_Noctules
Tahrongi,Usurper,assets/nms/tahrongi/usurper.png,https://www.bg-wiki.com/ffxi/Usurper
Tahrongi,Vetehinen,assets/nms/tahrongi/vetehinen.png,https://www.bg-wiki.com/ffxi/Vetehinen
Tahrongi,Yearner,assets/nms/tahrongi/yearner.png,https://www.bg-wiki.com/ffxi/Yearner
Attohwa,Aggressor Antlion,assets/nms/attohwa/aggressor_antlion.png,https://www.bg-wiki.com/ffxi/Aggressor_Antlion
Attohwa,Amun,assets/nms/attohwa/amun.png,https://www.bg-wiki.com/ffxi/Amun
Attohwa,Berstuk,assets/nms/attohwa/berstuk.png,https://www.bg-wiki.com/ffxi/Berstuk
Attohwa,Blazing Eruca,assets/nms/attohwa/blazing_eruca.png,https://www.bg-wiki.com/ffxi/Blazing_Eruca
Attohwa,Drekavac,assets/nms/attohwa/drekavac.png,https://www.bg-wiki.com/ffxi/Drekavac
Attohwa,Gaizkin,assets/nms/attohwa/gaizkin.png,https://www.bg-wiki.com/ffxi/Gaizkin
Attohwa,Gieremund,assets/nms/attohwa/gieremund.png,https://www.bg-wiki.com/ffxi/Gieremund
Attohwa,Granite Borer,assets/nms/attohwa/granite_borer.png,https://www.bg-wiki.com/ffxi/Granite_Borer
Attohwa,Itzpapalotl,assets/nms/attohwa/itzpapalotl.png,https://www.bg-wiki.com/ffxi/Itzpapalotl
Attohwa,Kampe,assets/nms/attohwa/kampe.png,https://www.bg-wiki.com/ffxi/Kampe
Attohwa,Kharon,assets/nms/attohwa/kharon.png,https://www.bg-wiki.com/ffxi/Kharon
Attohwa,Maahes,assets/nms/attohwa/maahes.png,https://www.bg-wiki.com/ffxi/Maahes
Attohwa,Mielikki,assets/nms/attohwa/mielikki.png,https://www.bg-wiki.com/ffxi/Mielikki
Attohwa,Nightshade,assets/nms/attohwa/nightshade.png,https://www.bg-wiki.com/ffxi/Nightshade
Attohwa,Pallid Percy,assets/nms/attohwa/pallid_percy.png,https://www.bg-wiki.com/ffxi/Pallid_Percy
Attohwa,Rahu,assets/nms/attohwa/rahu.png,https://www.bg-wiki.com/ffxi/Rahu
Attohwa,Smok,assets/nms/attohwa/smok.png,https://www.bg-wiki.com/ffxi/Smok
Attohwa,Titlacauan,assets/nms/attohwa/titlacauan.png,https://www.bg-wiki.com/ffxi/Titlacauan
Attohwa,Tunga,assets/nms/attohwa/tunga.png,https://www.bg-wiki.com/ffxi/Tunga
Attohwa,Ulhuadshi,assets/nms/attohwa/ulhuadshi.png,https://www.bg-wiki.com/ffxi/Ulhuadshi
Attohwa,Yaanei,assets/nms/attohwa/yaanei.png,https://www.bg-wiki.com/ffxi/Yaanei
Attohwa,Lusca,assets/nms/attohwa/lusca.png,https://www.bg-wiki.com/ffxi/Lusca
Attohwa,Wherwetrice,assets/nms/attohwa/wherwetrice.png,https://www.bg-wiki.com/ffxi/Wherwetrice
Misareaux,Abyssic Cluster,assets/nms/misareaux/abyssic_cluster.png,https://www.bg-wiki.com/ffxi/Abyssic_Cluster
Misareaux,Amhuluk,assets/nms/misareaux/amhuluk.png,https://www.bg-wiki.com/ffxi/Amhuluk
Misareaux,Asanbosam,assets/nms/misareaux/asanbosam.png,https://www.bg-wiki.com/ffxi/Asanbosam
Misareaux,Athamas,assets/nms/misareaux/athamas.png,https://www.bg-wiki.com/ffxi/Athamas
Misareaux,Avalerion,assets/nms/misareaux/avalerion.png,https://www.bg-wiki.com/ffxi/Avalerion
Misareaux,Cep-Kamuy,assets/nms/misareaux/cep_kamuy.png,https://www.bg-wiki.com/ffxi/Cep-Kamuy
Misareaux,Cirein-croin,assets/nms/misareaux/cirein_croin.png,https://www.bg-wiki.com/ffxi/Cirein-croin
Misareaux,Flame Skimmer,assets/nms/misareaux/flame_skimmer.png,https://www.bg-wiki.com/ffxi/Flame_Skimmer
Misareaux,Funereal Apkallu,assets/nms/misareaux/funereal_apkallu.png,https://www.bg-wiki.com/ffxi/Funereal_Apkallu
Misareaux,Gukumatz,assets/nms/misareaux/gukumatz.png,https://www.bg-wiki.com/ffxi/Gukumatz
Misareaux,Heqet,assets/nms/misareaux/heqet.png,https://www.bg-wiki.com/ffxi/Heqet
Misareaux,Ironclad Observer,assets/nms/misareaux/ironclad_observer.png,https://www.bg-wiki.com/ffxi/Ironclad_Observer
Misareaux,Ironclad Pulverizer,assets/nms/misareaux/ironclad_pulverizer.png,https://www.bg-wiki.com/ffxi/Ironclad_Pulverizer
Misareaux,Ironclad Severer,assets/nms/misareaux/ironclad_severer.png,https://www.bg-wiki.com/ffxi/Ironclad_Severer
Misareaux,Jala,assets/nms/misareaux/jala.png,https://www.bg-wiki.com/ffxi/Jala
Misareaux,Karkatakam,assets/nms/misareaux/karkatakam.png,https://www.bg-wiki.com/ffxi/Karkatakam
Misareaux,Kutharei,assets/nms/misareaux/kutharei.png,https://www.bg-wiki.com/ffxi/Kutharei
Misareaux,Manohra,assets/nms/misareaux/manohra.png,https://www.bg-wiki.com/ffxi/Manohra
Misareaux,Minax Bugard,assets/nms/misareaux/minax_bugard.png,https://www.bg-wiki.com/ffxi/Minax_Bugard
Misareaux,Nehebkau,assets/nms/misareaux/nehebkau.png,https://www.bg-wiki.com/ffxi/Nehebkau
Misareaux,Nonno,assets/nms/misareaux/nonno.png,https://www.bg-wiki.com/ffxi/Nonno
Misareaux,Npfundlwa,assets/nms/misareaux/npfundlwa.png,https://www.bg-wiki.com/ffxi/Npfundlwa
Misareaux,Sirrush,assets/nms/misareaux/sirrush.png,https://www.bg-wiki.com/ffxi/Sirrush
Misareaux,Sobek,assets/nms/misareaux/sobek.png,https://www.bg-wiki.com/ffxi/Sobek
Misareaux,Tristitia,assets/nms/misareaux/tristitia.png,https://www.bg-wiki.com/ffxi/Tristitia
Misareaux,Tuskertrap,assets/nms/misareaux/tuskertrap.png,https://www.bg-wiki.com/ffxi/Tuskertrap
Vunkerl,Armillaria,assets/nms/vunkerl/armillaria.png,https://www.bg-wiki.com/ffxi/Armillaria
Vunkerl,Ayravata,assets/nms/vunkerl/ayravata.png,https://www.bg-wiki.com/ffxi/Ayravata
Vunkerl,Bukhis,assets/nms/vunkerl/bukhis.png,https://www.bg-wiki.com/ffxi/Bukhis
Vunkerl,Chhir Batti,assets/nms/vunkerl/chhir_batti.png,https://www.bg-wiki.com/ffxi/Chhir_Batti
Vunkerl,Div-e Sepid,assets/nms/vunkerl/div_e_sepid.png,https://www.bg-wiki.com/ffxi/Div-e_Sepid
Vunkerl,Durinn,assets/nms/vunkerl/durinn.png,https://www.bg-wiki.com/ffxi/Durinn
Vunkerl,Dvalinn,assets/nms/vunkerl/dvalinn.png,https://www.bg-wiki.com/ffxi/Dvalinn
Vunkerl,Hrosshvalur,assets/nms/vunkerl/hrosshvalur.png,https://www.bg-wiki.com/ffxi/Hrosshvalur
Vunkerl,Iku-Turso,assets/nms/vunkerl/iku_turso.png,https://www.bg-wiki.com/ffxi/Iku-Turso
Vunkerl,Ironclad Executioner,assets/nms/vunkerl/ironclad_executioner.png,https://www.bg-wiki.com/ffxi/Ironclad_Executioner
Vunkerl,Kadraeth the Hatespawn,assets/nms/vunkerl/kadraeth_the_hatespawn.png,https://www.bg-wiki.com/ffxi/Kadraeth_the_Hatespawn
Vunkerl,Karkadann,assets/nms/vunkerl/karkadann.png,https://www.bg-wiki.com/ffxi/Karkadann
Vunkerl,Khalkotaur,assets/nms/vunkerl/khalkotaur.png,https://www.bg-wiki.com/ffxi/Khalkotaur
Vunkerl,Lord Varney,assets/nms/vunkerl/lord_varney.png,https://www.bg-wiki.com/ffxi/Lord_Varney
Vunkerl,Pascerpot,assets/nms/vunkerl/pascerpot.png,https://www.bg-wiki.com/ffxi/Pascerpot
Vunkerl,Quasimodo,assets/nms/vunkerl/quasimodo.png,https://www.bg-wiki.com/ffxi/Quasimodo
Vunkerl,Rakshas,assets/nms/vunkerl/rakshas.png,https://www.bg-wiki.com/ffxi/Rakshas
Vunkerl,Sedna,assets/nms/vunkerl/sedna.png,https://www.bg-wiki.com/ffxi/Sedna
Vunkerl,Seps,assets/nms/vunkerl/seps.png,https://www.bg-wiki.com/ffxi/Seps
Vunkerl,Fulmotondro,assets/nms/vunkerl/fulmotondro.png,https://www.bg-wiki.com/ffxi/Fulmotondro
Vunkerl,Gnawtooth Gary,assets/nms/vunkerl/gnawtooth_gary.png,https://www.bg-wiki.com/ffxi/Gnawtooth_Gary
Vunkerl,Hanuman,assets/nms/vunkerl/hanuman.png,https://www.bg-wiki.com/ffxi/Hanuman
Vunkerl,Hm\,assets/nms/vunkerl/hm.png,https://www.bg-wiki.com/ffxi/Hm\
Vunkerl,Iktomi,assets/nms/vunkerl/iktomi.png,https://www.bg-wiki.com/ffxi/Iktomi
Vunkerl,Ketea,assets/nms/vunkerl/ketea.png,https://www.bg-wiki.com/ffxi/Ketea
Vunkerl,Sippoy,assets/nms/vunkerl/sippoy.png,https://www.bg-wiki.com/ffxi/Sippoy
Vunkerl,Xan,assets/nms/vunkerl/xan.png,https://www.bg-wiki.com/ffxi/Xan
Altepa,Amarok,assets/nms/altepa/amarok.png,https://www.bg-wiki.com/ffxi/Amarok
Altepa,Ansherekh,assets/nms/altepa/ansherekh.png,https://www.bg-wiki.com/ffxi/Ansherekh
Altepa,Battlerigged Chariot,assets/nms/altepa/battlerigged_chariot.png,https://www.bg-wiki.com/ffxi/Battlerigged_Chariot
Altepa,Bennu,assets/nms/altepa/bennu.png,https://www.bg-wiki.com/ffxi/Bennu
Altepa,Bugul Noz,assets/nms/altepa/bugul_noz.png,https://www.bg-wiki.com/ffxi/Bugul_Noz
Altepa,Chickcharney,assets/nms/altepa/chickcharney.png,https://www.bg-wiki.com/ffxi/Chickcharney
Altepa,Dragua,assets/nms/altepa/dragua.png,https://www.bg-wiki.com/ffxi/Dragua
Altepa,Emperador de Altepa,assets/nms/altepa/emperador_de_altepa.png,https://www.bg-wiki.com/ffxi/Emperador_de_Altepa
Altepa,Hazhdiha,assets/nms/altepa/hazhdiha.png,https://www.bg-wiki.com/ffxi/Hazhdiha
Altepa,Ironclad Smiter,assets/nms/altepa/ironclad_smiter.png,https://www.bg-wiki.com/ffxi/Ironclad_Smiter
Altepa,Long-Barreled Chariot,assets/nms/altepa/long_barreled_chariot.png,https://www.bg-wiki.com/ffxi/Long-Barreled_Chariot
Altepa,Orthrus,assets/nms/altepa/orthrus.png,https://www.bg-wiki.com/ffxi/Orthrus
Altepa,Ouzelum,assets/nms/altepa/ouzelum.png,https://www.bg-wiki.com/ffxi/Ouzelum
Altepa,Rani,assets/nms/altepa/rani.png,https://www.bg-wiki.com/ffxi/Rani
Altepa,Sharabha,assets/nms/altepa/sharabha.png,https://www.bg-wiki.com/ffxi/Sharabha
Altepa,Shaula,assets/nms/altepa/shaula.png,https://www.bg-wiki.com/ffxi/Shaula
Altepa,Tablilla,assets/nms/altepa/tablilla.png,https://www.bg-wiki.com/ffxi/Tablilla
Altepa,Vadleany,assets/nms/altepa/vadleany.png,https://www.bg-wiki.com/ffxi/Vadleany
Altepa,Brulo,assets/nms/altepa/brulo.png,https://www.bg-wiki.com/ffxi/Brulo
Altepa,Cuijatender,assets/nms/altepa/cuijatender.png,https://www.bg-wiki.com/ffxi/Cuijatender
Altepa,Hedjedjet,assets/nms/altepa/hedjedjet.png,https://www.bg-wiki.com/ffxi/Hedjedjet
Altepa,Koios,assets/nms/altepa/koios.png,https://www.bg-wiki.com/ffxi/Koios
Altepa,Waugyl,assets/nms/altepa/waugyl.png,https://www.bg-wiki.com/ffxi/Waugyl
Uleguerand,Anemic Aloysius,assets/nms/uleguerand/anemic_aloysius.png,https://www.bg-wiki.com/ffxi/Anemic_Aloysius
Uleguerand,Apademak,assets/nms/uleguerand/apademak.png,https://www.bg-wiki.com/ffxi/Apademak
Uleguerand,Audumbla,assets/nms/uleguerand/audumbla.png,https://www.bg-wiki.com/ffxi/Audumbla
Uleguerand,Awahondo,assets/nms/uleguerand/awahondo.png,https://www.bg-wiki.com/ffxi/Awahondo
Uleguerand,Blanga,assets/nms/uleguerand/blanga.png,https://www.bg-wiki.com/ffxi/Blanga
Uleguerand,Chillwing Hwitti,assets/nms/uleguerand/chillwing_hwitti.png,https://www.bg-wiki.com/ffxi/Chillwing_Hwitti
Uleguerand,Dhorme Khimaira,assets/nms/uleguerand/dhorme_khimaira.png,https://www.bg-wiki.com/ffxi/Dhorme_Khimaira
Uleguerand,Impervious Chariot,assets/nms/uleguerand/impervious_chariot.png,https://www.bg-wiki.com/ffxi/Impervious_Chariot
Uleguerand,Ironclad Triturator,assets/nms/uleguerand/ironclad_triturator.png,https://www.bg-wiki.com/ffxi/Ironclad_Triturator
Uleguerand,Isgebind,assets/nms/uleguerand/isgebind.png,https://www.bg-wiki.com/ffxi/Isgebind
Uleguerand,Koghatu,assets/nms/uleguerand/koghatu.png,https://www.bg-wiki.com/ffxi/Koghatu
Uleguerand,Kur,assets/nms/uleguerand/kur.png,https://www.bg-wiki.com/ffxi/Kur
Uleguerand,Pantokrator,assets/nms/uleguerand/pantokrator.png,https://www.bg-wiki.com/ffxi/Pantokrator
Uleguerand,Resheph,assets/nms/uleguerand/resheph.png,https://www.bg-wiki.com/ffxi/Resheph
Uleguerand,Sisyphus,assets/nms/uleguerand/sisyphus.png,https://www.bg-wiki.com/ffxi/Sisyphus
Uleguerand,Upas-Kamuy,assets/nms/uleguerand/upas_kamuy.png,https://www.bg-wiki.com/ffxi/Upas-Kamuy
Uleguerand,Veri Selen,assets/nms/uleguerand/veri_selen.png,https://www.bg-wiki.com/ffxi/Veri_Selen
Uleguerand,Chione,assets/nms/uleguerand/chione.png,https://www.bg-wiki.com/ffxi/Chione
Uleguerand,Empousa,assets/nms/uleguerand/empousa.png,https://www.bg-wiki.com/ffxi/Empousa
Uleguerand,Indrik,assets/nms/uleguerand/indrik.png,https://www.bg-wiki.com/ffxi/Indrik
Uleguerand,Ogopogo,assets/nms/uleguerand/ogopogo.png,https://www.bg-wiki.com/ffxi/Ogopogo
Uleguerand,Refitted Chariot,assets/nms/uleguerand/refitted_chariot.png,https://www.bg-wiki.com/ffxi/Refitted_Chariot
Uleguerand,Yaguarogui,assets/nms/uleguerand/yaguarogui.png,https://www.bg-wiki.com/ffxi/Yaguarogui
Grauberg,Alfard,assets/nms/grauberg/alfard.png,https://www.bg-wiki.com/ffxi/Alfard
Grauberg,Amphitrite,assets/nms/grauberg/amphitrite.png,https://www.bg-wiki.com/ffxi/Amphitrite
Grauberg,Assailer Chariot,assets/nms/grauberg/assailer_chariot.png,https://www.bg-wiki.com/ffxi/Assailer_Chariot
Grauberg,Azdaja,assets/nms/grauberg/azdaja.png,https://www.bg-wiki.com/ffxi/Azdaja
Grauberg,Bomblix Flamefinger,assets/nms/grauberg/bomblix_flamefinger.png,https://www.bg-wiki.com/ffxi/Bomblix_Flamefinger
Grauberg,Deelgeed,assets/nms/grauberg/deelgeed.png,https://www.bg-wiki.com/ffxi/Deelgeed
Grauberg,Ironclad Sunderer,assets/nms/grauberg/ironclad_sunderer.png,https://www.bg-wiki.com/ffxi/Ironclad_Sunderer
Grauberg,Melo Melo,assets/nms/grauberg/melo_melo.png,https://www.bg-wiki.com/ffxi/Melo_Melo
Grauberg,Ningishzida,assets/nms/grauberg/ningishzida.png,https://www.bg-wiki.com/ffxi/Ningishzida
Grauberg,Burstrox Powderpate,assets/nms/grauberg/burstrox_powderpate.png,https://www.bg-wiki.com/ffxi/Burstrox_Powderpate
Grauberg,Fleshflayer Killakriq,assets/nms/grauberg/fleshflayer_killakriq.png,https://www.bg-wiki.com/ffxi/Fleshflayer_Killakriq
Grauberg,Fuath,assets/nms/grauberg/fuath.png,https://www.bg-wiki.com/ffxi/Fuath
Grauberg,Gamayun,assets/nms/grauberg/gamayun.png,https://www.bg-wiki.com/ffxi/Gamayun
Grauberg,Ika-Roa,assets/nms/grauberg/ika_roa.png,https://www.bg-wiki.com/ffxi/Ika-Roa
Grauberg,Jaculus,assets/nms/grauberg/jaculus.png,https://www.bg-wiki.com/ffxi/Jaculus
Grauberg,Lorelei,assets/nms/grauberg/lorelei.png,https://www.bg-wiki.com/ffxi/Lorelei
Grauberg,Maere,assets/nms/grauberg/maere.png,https://www.bg-wiki.com/ffxi/Maere
Grauberg,Minaruja,assets/nms/grauberg/minaruja.png,https://www.bg-wiki.com/ffxi/Minaruja
Grauberg,Raja,assets/nms/grauberg/raja.png,https://www.bg-wiki.com/ffxi/Raja
Grauberg,Rencounter Chariot,assets/nms/grauberg/rencounter_chariot.png,https://www.bg-wiki.com/ffxi/Rencounter_Chariot
Grauberg,Teekesselchen,assets/nms/grauberg/teekesselchen.png,https://www.bg-wiki.com/ffxi/Teekesselchen
Grauberg,Teugghia,assets/nms/grauberg/teugghia.png,https://www.bg-wiki.com/ffxi/Teugghia
Grauberg,Xibalba,assets/nms/grauberg/xibalba.png,https://www.bg-wiki.com/ffxi/Xibalba
